Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,combineId,playerId,combineYear,combineHeight,combineWeight,collegeId,nflId,heightInches,weight,ageAtDraft,team_wins,team_losses,team_win_loss_perc,team_points,team_points_opp,team_points_diff,team_g,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_score_pct,team_turnover_pct,team_exp_pts_tot
David Terrell,Jaguars,27.0,16.0,4.0,80.0,50.0,533.0,10.7,1.0,25.0,43.8,36.0,6.7,3.1,33.3,3.0,2004.0,14831.0,20010008.0,2001.0,75.1,213.0,48109.0,2504761.0,75.0,212.0,22.12328767123288,5.0,11.0,0.313,276.0,331.0,-55.0,16.0,5358.0,1024.0,5.2,31.0,14.0,305.0,303.0,515.0,3285.0,17.0,17.0,6.0,163.0,481.0,2073.0,13.0,4.3,118.0,108.0,895.0,24.0,27.3,15.8,-132.3
Jabar Gaffney,Giants,28.0,16.0,15.0,81.0,49.0,437.0,8.9,0.0,22.0,44.4,43.0,5.4,3.1,27.3,3.0,2004.0,14962.0,20020033.0,2002.0,73.1,193.0,32611.0,2505033.0,74.0,200.0,21.3972602739726,4.0,12.0,0.25,243.0,387.0,-144.0,16.0,4942.0,1047.0,4.7,38.0,18.0,300.0,344.0,616.0,3383.0,16.0,20.0,5.1,184.0,387.0,1559.0,6.0,4.0,90.0,127.0,1090.0,26.0,21.4,18.4,-225.77
Curtis Conway,Cardinals,23.0,16.0,11.0,102.0,49.0,537.0,11.0,1.0,29.0,43.1,40.0,5.3,3.1,33.6,1.0,2004.0,12156.0,19930007.0,1993.0,72.3,185.0,90089.0,2500179.0,73.0,200.0,22.295890410958904,4.0,12.0,0.25,225.0,452.0,-227.0,16.0,4490.0,981.0,4.6,36.0,14.0,256.0,303.0,534.0,2959.0,18.0,22.0,5.1,147.0,403.0,1531.0,5.0,3.8,80.0,98.0,761.0,29.0,22.2,18.4,-250.75
Deion Branch,Bills,23.0,16.0,11.0,74.0,48.0,843.0,17.6,9.0,37.0,58.1,69.0,11.4,3.0,52.7,1.0,2004.0,14899.0,20020065.0,2002.0,69.1,191.0,40292.0,2505062.0,69.0,195.0,22.77260273972603,6.0,10.0,0.375,243.0,279.0,-36.0,16.0,4348.0,980.0,4.4,34.0,17.0,268.0,293.0,502.0,2684.0,11.0,17.0,4.9,150.0,427.0,1664.0,13.0,3.9,96.0,106.0,891.0,22.0,21.9,17.6,-230.07
Plaxico Burress,Panthers,22.0,15.0,15.0,92.0,47.0,754.0,16.0,5.0,32.0,42.4,63.0,8.2,3.1,50.3,1.0,2004.0,14373.0,20000008.0,2000.0,77.4,231.0,48824.0,2504253.0,77.0,232.0,22.69041095890411,11.0,5.0,0.688,325.0,304.0,21.0,16.0,5141.0,1008.0,5.1,31.0,15.0,284.0,270.0,460.0,3050.0,19.0,16.0,6.3,146.0,522.0,2091.0,9.0,4.0,114.0,116.0,966.0,24.0,30.8,14.9,-149.93
Kevin Johnson,Chargers,25.0,15.0,13.0,71.0,47.0,690.0,14.7,4.0,33.0,57.7,79.0,9.7,3.1,46.0,5.0,2004.0,12250.0,19930086.0,1993.0,73.3,306.0,77004.0,2501433.0,73.0,305.0,22.5013698630137,4.0,12.0,0.25,313.0,441.0,-128.0,16.0,5167.0,971.0,5.3,31.0,12.0,290.0,297.0,525.0,3021.0,21.0,19.0,5.5,146.0,417.0,2146.0,16.0,5.1,117.0,126.0,1016.0,27.0,27.2,15.7,-126.67
Jerome Pathon,Vikings,29.0,16.0,7.0,79.0,47.0,657.0,14.0,8.0,31.0,53.2,50.0,8.3,2.9,41.1,1.0,2004.0,13865.0,19980032.0,1998.0,72.0,187.0,98195.0,2502417.0,72.0,195.0,22.353424657534248,9.0,7.0,0.563,416.0,353.0,63.0,16.0,6294.0,1055.0,6.0,24.0,11.0,336.0,333.0,520.0,3951.0,32.0,13.0,7.0,194.0,493.0,2343.0,15.0,4.8,124.0,127.0,1029.0,18.0,35.5,13.1,8.32
Ricky Proehl,49ers,26.0,15.0,15.0,85.0,47.0,641.0,13.6,3.0,35.0,49.4,39.0,7.5,3.1,42.7,0.0,2004.0,11131.0,19900058.0,1990.0,70.8,181.0,27106.0,2502556.0,72.0,190.0,22.13972602739726,7.0,9.0,0.438,384.0,337.0,47.0,16.0,5687.0,1038.0,5.5,25.0,10.0,313.0,299.0,511.0,3408.0,25.0,15.0,6.3,172.0,499.0,2279.0,16.0,4.6,118.0,104.0,807.0,23.0,35.1,12.4,-56.95
Joey Galloway,Jets,25.0,15.0,14.0,78.0,45.0,838.0,18.6,5.0,35.0,52.6,69.0,10.7,3.0,55.9,2.0,2004.0,12845.0,19950008.0,1995.0,70.4,188.0,43210.0,2500744.0,71.0,197.0,23.435616438356163,6.0,10.0,0.375,283.0,299.0,-16.0,16.0,4951.0,936.0,5.3,20.0,6.0,274.0,312.0,496.0,3316.0,20.0,14.0,6.3,181.0,409.0,1635.0,8.0,4.0,78.0,69.0,550.0,15.0,32.4,11.8,-107.89
Kevin Curtis,Falcons,28.0,16.0,15.0,106.0,45.0,575.0,12.8,3.0,28.0,37.7,50.0,5.4,2.8,35.9,0.0,2004.0,14928.0,20020127.0,2002.0,73.6,212.0,79415.0,2505115.0,74.0,212.0,21.742465753424657,5.0,11.0,0.313,299.0,422.0,-123.0,16.0,4357.0,930.0,4.7,31.0,10.0,252.0,230.0,460.0,2408.0,14.0,21.0,4.9,127.0,435.0,1949.0,17.0,4.5,99.0,90.0,790.0,26.0,24.9,12.9,-190.61
